sa2_code,sa2_name,sa4_name,poi_count,zPOI,score
116011303,Blacktown (East) - Kings Park,Sydney - Blacktown,196,2.569356,0.928863
116011307,Lalor Park - Kings Langley,Sydney - Blacktown,156,1.767737,0.854176
116031317,Mount Druitt - Whalan,Sydney - Blacktown,139,1.427049,0.806441
116021630,Riverstone,Sydney - Blacktown,118,1.006199,0.732276
116031313,Bidwill - Hebersham - Emerton,Sydney - Blacktown,117,0.986159,0.728328
116031318,Prospect Reservoir,Sydney - Blacktown,99,0.62543,0.651452
116011626,Seven Hills - Prospect,Sydney - Blacktown,92,0.485147,0.618962
116011304,Blacktown (North) - Marayong,Sydney - Blacktown,83,0.304782,0.575611
116031319,Rooty Hill - Minchinbury,Sydney - Blacktown,67,-0.015865,0.496034
116011306,Doonside - Woodcroft,Sydney - Blacktown,66,-0.035906,0.491025
116021628,Kellyville Ridge - The Ponds,Sydney - Blacktown,65,-0.055946,0.486017
116021563,Quakers Hill,Sydney - Blacktown,63,-0.096027,0.476012
116021629,Marsden Park - Shanes Park,Sydney - Blacktown,62,-0.116068,0.471016
116031316,Lethbridge Park - Tregear,Sydney - Blacktown,58,-0.19623,0.451099
116031315,Hassall Grove - Plumpton,Sydney - Blacktown,57,-0.21627,0.446142
116011560,Blacktown - South,Sydney - Blacktown,38,-0.597039,0.355021
116031314,Glendenning - Dean Park,Sydney - Blacktown,35,-0.657161,0.341378
116021309,Glenwood,Sydney - Blacktown,34,-0.677201,0.336886
116021632,Schofields - East,Sydney - Blacktown,23,-0.897646,0.289534
116011561,Blacktown - West,Sydney - Blacktown,19,-0.977808,0.273327
116011627,Toongabbie - West,Sydney - Blacktown,17,-1.017889,0.265439
116021633,Stanhope Gardens - Parklea,Sydney - Blacktown,11,-1.138132,0.242663
116021631,Schofields (West) - Colebee,Sydney - Blacktown,10,-1.158173,0.238999
116021562,Acacia Gardens,Sydney - Blacktown,2,-1.318496,0.211069
